ecosystem,name,version,required_by,declared_at,expected_path,original_source,verified_source,availability_status,sha256,signature,license,evidence,notes
database,ivxv-storage_db.tar.gz,unknown,ivxv-storage Debian package,storage/Makefile; debian/ivxv-storage.install,common/external/database/etcd/ivxv-storage_db.tar.gz,unknown,none,not-reconstructable-from-published-information,,unknown,unknown,evidence/command-logs/30-common-external-etcd-os.txt,"The directory name implies ETCD, but published evidence does not establish upstream version, archive members, modifications, hash, or license."
database,ivxv-storage_db_install.sh,unknown,ivxv-storage Debian package,storage/Makefile; debian/ivxv-storage.install,common/external/database/etcd/ivxv-storage_db_install.sh,unknown,none,not-reconstructable-from-published-information,,unknown,unknown,evidence/command-logs/30-common-external-etcd-os.txt,"Required since 023e072; no content, hash, source URL, or version is published."
database,ivxv-storage_db_uninstall.sh,unknown,ivxv-storage Debian package,storage/Makefile; debian/ivxv-storage.install,common/external/database/etcd/ivxv-storage_db_uninstall.sh,unknown,none,not-reconstructable-from-published-information,,unknown,unknown,evidence/command-logs/30-common-external-etcd-os.txt,"Required since 023e072; no content, hash, source URL, or version is published."
external-bundle,common/external dependency repository,unknown,whole IVXV build,README.rst and Makefile history,common/external,unpublished repository URL,none,not-reconstructable-from-published-information,,unknown,unknown,evidence/command-logs/30-common-external-etcd-os.txt,"Published README describes a separate Git LFS dependency repository and make external invokes git submodule update, but published history supplies neither its URL nor a gitlink commit."
external-bundle,Gradle offline tree,8.11,Java applications,common/java/javavar.mk,common/external/gradle-8.11,Gradle upstream distribution,public Gradle distribution,public-verifiable,,available upstream,Apache-2.0,evidence/command-logs/30-common-external-etcd-os.txt,Hash and Java-specific verification belong in the Java manifest.
go,github.com/bytedance/sonic,v1.11.6,xroad,xroad-service/go.mod,common/external/go module cache,https://proxy.golang.org/github.com/bytedance/sonic/@v/,https://proxy.golang.org/github.com/bytedance/sonic/@v/v1.11.6.zip,public-verifiable,3b95a18f500ab8ddc5730d162aaaa803a3895242959c6c4c89464516e3efc250,Go checksum/SumDB model; no detached archive signature,unknown,evidence/go/declared-modules.tsv; evidence/go/proxy-artifacts.tsv,go.sum ZIP hash h1:oUp34TzMlL+OY1OUWxHqsdkgC/Zfc85zGqw9siXjrc0=; go.mod hash absent; indirect=true; verification=proxy-verified
go,github.com/bytedance/sonic/loader,v0.1.1,xroad,xroad-service/go.mod,common/external/go module cache,https://proxy.golang.org/github.com/bytedance/sonic/loader/@v/,https://proxy.golang.org/github.com/bytedance/sonic/loader/@v/v0.1.1.zip,public-verifiable,71d603db4cb343f03e27f46ab3fbd8e5b59646f6836b31b881ca725c257e0d40,Go checksum/SumDB model; no detached archive signature,unknown,evidence/go/declared-modules.tsv; evidence/go/proxy-artifacts.tsv,go.sum ZIP hash h1:c+e5Pt1k/cy5wMveRDyk2X4B9hF4g7an8N3zCYjJFNM=; go.mod hash absent; indirect=true; verification=proxy-verified
go,github.com/cloudwego/base64x,v0.1.4,xroad,xroad-service/go.mod,common/external/go module cache,https://proxy.golang.org/github.com/cloudwego/base64x/@v/,https://proxy.golang.org/github.com/cloudwego/base64x/@v/v0.1.4.zip,public-verifiable,de83c0e0db75c0bc8743d02aed3db8f38685dd4481654148e81836f9f5bd2fc1,Go checksum/SumDB model; no detached archive signature,unknown,evidence/go/declared-modules.tsv; evidence/go/proxy-artifacts.tsv,go.sum ZIP hash h1:jwCgWpFanWmN8xoIUHa2rtzmkd5J2plF/dnLS6Xd/0Y=; go.mod hash absent; indirect=true; verification=proxy-verified
go,github.com/cloudwego/iasm,v0.2.0,xroad,xroad-service/go.mod,common/external/go module cache,https://proxy.golang.org/github.com/cloudwego/iasm/@v/,https://proxy.golang.org/github.com/cloudwego/iasm/@v/v0.2.0.zip,public-verifiable,20f0604b57fd75a6aefe5ac8e807d9ab1fcc8eea0b94c3a69aa5b83f57380b19,Go checksum/SumDB model; no detached archive signature,unknown,evidence/go/declared-modules.tsv; evidence/go/proxy-artifacts.tsv,go.sum ZIP hash h1:1KNIy1I1H9hNNFEEH3DVnI4UujN+1zjpuk6gwHLTssg=; go.mod hash absent; indirect=true; verification=proxy-verified
go,github.com/coreos/go-semver,v0.3.0,ivxv.ee/choices,choices/go.mod,common/external/go module cache,https://proxy.golang.org/github.com/coreos/go-semver/@v/,https://proxy.golang.org/github.com/coreos/go-semver/@v/v0.3.0.zip,public-verifiable,b2fc075395ffc34cff4b964681d0ae3cd22096cfcadd2970eeaa877596ceb210,Go checksum/SumDB model; no detached archive signature,unknown,evidence/go/declared-modules.tsv; evidence/go/proxy-artifacts.tsv,go.sum ZIP hash h1:wkHLiw0WNATZnSG7epLsujiMCgPAc9xhjJ4tgnAxmfM=; go.mod hash absent; indirect=true; verification=proxy-verified
go,github.com/coreos/go-semver,v0.3.0,ivxv.ee/common/collector,common/collector/go.mod,common/external/go module cache,https://proxy.golang.org/github.com/coreos/go-semver/@v/,https://proxy.golang.org/github.com/coreos/go-semver/@v/v0.3.0.zip,public-verifiable,b2fc075395ffc34cff4b964681d0ae3cd22096cfcadd2970eeaa877596ceb210,Go checksum/SumDB model; no detached archive signature,unknown,evidence/go/declared-modules.tsv; evidence/go/proxy-artifacts.tsv,go.sum ZIP hash h1:wkHLiw0WNATZnSG7epLsujiMCgPAc9xhjJ4tgnAxmfM=; go.mod hash absent; indirect=true; verification=proxy-verified
go,github.com/coreos/go-semver,v0.3.0,ivxv.ee/mid,mid/go.mod,common/external/go module cache,https://proxy.golang.org/github.com/coreos/go-semver/@v/,https://proxy.golang.org/github.com/coreos/go-semver/@v/v0.3.0.zip,public-verifiable,b2fc075395ffc34cff4b964681d0ae3cd22096cfcadd2970eeaa877596ceb210,Go checksum/SumDB model; no detached archive signature,unknown,evidence/go/declared-modules.tsv; evidence/go/proxy-artifacts.tsv,go.sum ZIP hash h1:wkHLiw0WNATZnSG7epLsujiMCgPAc9xhjJ4tgnAxmfM=; go.mod hash absent; indirect=true; verification=proxy-verified
go,github.com/coreos/go-semver,v0.3.0,ivxv.ee/sessionstatus,sessionstatus/go.mod,common/external/go module cache,https://proxy.golang.org/github.com/coreos/go-semver/@v/,https://proxy.golang.org/github.com/coreos/go-semver/@v/v0.3.0.zip,public-verifiable,b2fc075395ffc34cff4b964681d0ae3cd22096cfcadd2970eeaa877596ceb210,Go checksum/SumDB model; no detached archive signature,unknown,evidence/go/declared-modules.tsv; evidence/go/proxy-artifacts.tsv,go.sum ZIP hash h1:wkHLiw0WNATZnSG7epLsujiMCgPAc9xhjJ4tgnAxmfM=; go.mod hash absent; indirect=true; verification=proxy-verified
go,github.com/coreos/go-semver,v0.3.0,ivxv.ee/sessionstatus/api,sessionstatus/api/go.mod,common/external/go module cache,https://proxy.golang.org/github.com/coreos/go-semver/@v/,https://proxy.golang.org/github.com/coreos/go-semver/@v/v0.3.0.zip,public-verifiable,b2fc075395ffc34cff4b964681d0ae3cd22096cfcadd2970eeaa877596ceb210,Go checksum/SumDB model; no detached archive signature,unknown,evidence/go/declared-modules.tsv; evidence/go/proxy-artifacts.tsv,go.sum ZIP hash h1:wkHLiw0WNATZnSG7epLsujiMCgPAc9xhjJ4tgnAxmfM=; go.mod hash absent; indirect=true; verification=proxy-verified
go,github.com/coreos/go-semver,v0.3.0,ivxv.ee/smartid,smartid/go.mod,common/external/go module cache,https://proxy.golang.org/github.com/coreos/go-semver/@v/,https://proxy.golang.org/github.com/coreos/go-semver/@v/v0.3.0.zip,public-verifiable,b2fc075395ffc34cff4b964681d0ae3cd22096cfcadd2970eeaa877596ceb210,Go checksum/SumDB model; no detached archive signature,unknown,evidence/go/declared-modules.tsv; evidence/go/proxy-artifacts.tsv,go.sum ZIP hash h1:wkHLiw0WNATZnSG7epLsujiMCgPAc9xhjJ4tgnAxmfM=; go.mod hash absent; indirect=true; verification=proxy-verified
