ecosystem,name,version,required_by,declared_at,expected_path,original_source,verified_source,availability_status,sha256,signature,license,evidence,notes
maven,ch.qos.cal10n:cal10n-api,0.8.1,common/java (runtime or tests),common/java/build.gradle,common/external/java Gradle user home cache,https://central.sonatype.com/artifact/ch.qos.cal10n/cal10n-api/0.8.1,https://repo.maven.apache.org/maven2/ch/qos/cal10n/cal10n-api/0.8.1/cal10n-api-0.8.1.jar,public-verifiable,b7a110770766cd2742eba4ee894713b17e69262841f8aeea8b3d1a666fb7d260,Maven Central sidecar signatures not evaluated,See upstream POM,evidence/hashes/java/maven-direct-artifacts.csv,Direct declaration. Gradle lockfiles and dependency-verification metadata are absent.
maven,ch.qos.logback.contrib:logback-jackson,0.1.5,common/java (runtime or tests),common/java/build.gradle,common/external/java Gradle user home cache,https://central.sonatype.com/artifact/ch.qos.logback.contrib/logback-jackson/0.1.5,https://repo.maven.apache.org/maven2/ch/qos/logback/contrib/logback-jackson/0.1.5/logback-jackson-0.1.5.jar,public-verifiable,c6f8863934218faa1bfa0f325659aa899e6a28473de2ec09cf43192c78409ab4,Maven Central sidecar signatures not evaluated,See upstream POM,evidence/hashes/java/maven-direct-artifacts.csv,Direct declaration. Gradle lockfiles and dependency-verification metadata are absent.
maven,ch.qos.logback.contrib:logback-json-classic,0.1.5,common/java (runtime or tests),common/java/build.gradle,common/external/java Gradle user home cache,https://central.sonatype.com/artifact/ch.qos.logback.contrib/logback-json-classic/0.1.5,https://repo.maven.apache.org/maven2/ch/qos/logback/contrib/logback-json-classic/0.1.5/logback-json-classic-0.1.5.jar,public-verifiable,257194ac9c57f65e72e7b18e60d7b78d3ea1bc85e734332a4a8bbb46a5af305a,Maven Central sidecar signatures not evaluated,See upstream POM,evidence/hashes/java/maven-direct-artifacts.csv,Direct declaration. Gradle lockfiles and dependency-verification metadata are absent.
maven,ch.qos.logback:logback-classic,1.5.12,common/java (runtime or tests),common/java/build.gradle,common/external/java Gradle user home cache,https://central.sonatype.com/artifact/ch.qos.logback/logback-classic/1.5.12,https://repo.maven.apache.org/maven2/ch/qos/logback/logback-classic/1.5.12/logback-classic-1.5.12.jar,public-verifiable,ebe1a2ce1072b365090d58af40fcb7482d7864a31cd2b1c62c9b1d13f9a80c09,Maven Central sidecar signatures not evaluated,See upstream POM,evidence/hashes/java/maven-direct-artifacts.csv,Direct declaration. Gradle lockfiles and dependency-verification metadata are absent.
maven,com.fasterxml.jackson.core:jackson-databind,2.18.1,common/java (runtime or tests),common/java/build.gradle,common/external/java Gradle user home cache,https://central.sonatype.com/artifact/com.fasterxml.jackson.core/jackson-databind/2.18.1,https://repo.maven.apache.org/maven2/com/fasterxml/jackson/core/jackson-databind/2.18.1/jackson-databind-2.18.1.jar,public-verifiable,711bc3bf86d31d02968b9279efb07a6ad60adfc0baa0e9fe66d71a0ac2556234,Maven Central sidecar signatures not evaluated,See upstream POM,evidence/hashes/java/maven-direct-artifacts.csv,Direct declaration. Gradle lockfiles and dependency-verification metadata are absent.
maven,junit:junit,4.13.2,common/java (runtime or tests),common/java/build.gradle,common/external/java Gradle user home cache,https://central.sonatype.com/artifact/junit/junit/4.13.2,https://repo.maven.apache.org/maven2/junit/junit/4.13.2/junit-4.13.2.jar,public-verifiable,8e495b634469d64fb8acfa3495a065cbacc8a0fff55ce1e31007be4c16dc57d3,Maven Central sidecar signatures not evaluated,See upstream POM,evidence/hashes/java/maven-direct-artifacts.csv,Direct declaration. Gradle lockfiles and dependency-verification metadata are absent.
maven,org.apache.commons:commons-collections4,4.4,common/java (runtime or tests),common/java/build.gradle,common/external/java Gradle user home cache,https://central.sonatype.com/artifact/org.apache.commons/commons-collections4/4.4,https://repo.maven.apache.org/maven2/org/apache/commons/commons-collections4/4.4/commons-collections4-4.4.jar,public-verifiable,1df8b9430b5c8ed143d7815e403e33ef5371b2400aadbe9bda0883762e0846d1,Maven Central sidecar signatures not evaluated,See upstream POM,evidence/hashes/java/maven-direct-artifacts.csv,Direct declaration. Gradle lockfiles and dependency-verification metadata are absent.
maven,org.apache.pdfbox:pdfbox,3.0.3,common/java (runtime or tests),common/java/build.gradle,common/external/java Gradle user home cache,https://central.sonatype.com/artifact/org.apache.pdfbox/pdfbox/3.0.3,https://repo.maven.apache.org/maven2/org/apache/pdfbox/pdfbox/3.0.3/pdfbox-3.0.3.jar,public-verifiable,5be38d2ec81691b05d535eb720de4dc566c5d07e5a04731fa00668d153a8b4a6,Maven Central sidecar signatures not evaluated,See upstream POM,evidence/hashes/java/maven-direct-artifacts.csv,Direct declaration. Gradle lockfiles and dependency-verification metadata are absent.
maven,org.bouncycastle:bcpkix-jdk15on,1.70,common/java (runtime or tests),common/java/build.gradle,common/external/java Gradle user home cache,https://central.sonatype.com/artifact/org.bouncycastle/bcpkix-jdk15on/1.70,https://repo.maven.apache.org/maven2/org/bouncycastle/bcpkix-jdk15on/1.70/bcpkix-jdk15on-1.70.jar,public-verifiable,e5b9cb821df57f70b0593358e89c0e8d7266515da9d088af6c646f63d433c07c,Maven Central sidecar signatures not evaluated,See upstream POM,evidence/hashes/java/maven-direct-artifacts.csv,Direct declaration. Gradle lockfiles and dependency-verification metadata are absent.
maven,org.bouncycastle:bcprov-jdk15on,1.70,common/java (runtime or tests),common/java/build.gradle,common/external/java Gradle user home cache,https://central.sonatype.com/artifact/org.bouncycastle/bcprov-jdk15on/1.70,https://repo.maven.apache.org/maven2/org/bouncycastle/bcprov-jdk15on/1.70/bcprov-jdk15on-1.70.jar,public-verifiable,8f3c20e3e2d565d26f33e8d4857a37d0d7f8ac39b62a7026496fcab1bdac30d4,Maven Central sidecar signatures not evaluated,See upstream POM,evidence/hashes/java/maven-direct-artifacts.csv,Direct declaration. Gradle lockfiles and dependency-verification metadata are absent.
