module	version	required_by	declared_at	indirect	go_sum_h1	go_mod_h1	verification_status
github.com/bytedance/sonic	v1.11.6	xroad	xroad-service/go.mod	true	h1:oUp34TzMlL+OY1OUWxHqsdkgC/Zfc85zGqw9siXjrc0=		proxy-verified
github.com/bytedance/sonic/loader	v0.1.1	xroad	xroad-service/go.mod	true	h1:c+e5Pt1k/cy5wMveRDyk2X4B9hF4g7an8N3zCYjJFNM=		proxy-verified
github.com/cloudwego/base64x	v0.1.4	xroad	xroad-service/go.mod	true	h1:jwCgWpFanWmN8xoIUHa2rtzmkd5J2plF/dnLS6Xd/0Y=		proxy-verified
github.com/cloudwego/iasm	v0.2.0	xroad	xroad-service/go.mod	true	h1:1KNIy1I1H9hNNFEEH3DVnI4UujN+1zjpuk6gwHLTssg=		proxy-verified
github.com/coreos/go-semver	v0.3.0	ivxv.ee/choices	choices/go.mod	true	h1:wkHLiw0WNATZnSG7epLsujiMCgPAc9xhjJ4tgnAxmfM=		proxy-verified
github.com/coreos/go-semver	v0.3.0	ivxv.ee/common/collector	common/collector/go.mod	true	h1:wkHLiw0WNATZnSG7epLsujiMCgPAc9xhjJ4tgnAxmfM=		proxy-verified
github.com/coreos/go-semver	v0.3.0	ivxv.ee/mid	mid/go.mod	true	h1:wkHLiw0WNATZnSG7epLsujiMCgPAc9xhjJ4tgnAxmfM=		proxy-verified
github.com/coreos/go-semver	v0.3.0	ivxv.ee/sessionstatus	sessionstatus/go.mod	true	h1:wkHLiw0WNATZnSG7epLsujiMCgPAc9xhjJ4tgnAxmfM=		proxy-verified
github.com/coreos/go-semver	v0.3.0	ivxv.ee/sessionstatus/api	sessionstatus/api/go.mod	true	h1:wkHLiw0WNATZnSG7epLsujiMCgPAc9xhjJ4tgnAxmfM=		proxy-verified
github.com/coreos/go-semver	v0.3.0	ivxv.ee/smartid	smartid/go.mod	true	h1:wkHLiw0WNATZnSG7epLsujiMCgPAc9xhjJ4tgnAxmfM=		proxy-verified
github.com/coreos/go-semver	v0.3.0	ivxv.ee/storage	storage/go.mod	true	h1:wkHLiw0WNATZnSG7epLsujiMCgPAc9xhjJ4tgnAxmfM=		proxy-verified
github.com/coreos/go-semver	v0.3.0	ivxv.ee/verification	verification/go.mod	true	h1:wkHLiw0WNATZnSG7epLsujiMCgPAc9xhjJ4tgnAxmfM=		proxy-verified
github.com/coreos/go-semver	v0.3.0	ivxv.ee/votesorder	votesorder/go.mod	true	h1:wkHLiw0WNATZnSG7epLsujiMCgPAc9xhjJ4tgnAxmfM=		proxy-verified
github.com/coreos/go-semver	v0.3.0	ivxv.ee/voting	voting/go.mod	true	h1:wkHLiw0WNATZnSG7epLsujiMCgPAc9xhjJ4tgnAxmfM=		proxy-verified
github.com/coreos/go-semver	v0.3.0	ivxv.ee/webeid	webeid/go.mod	true	h1:wkHLiw0WNATZnSG7epLsujiMCgPAc9xhjJ4tgnAxmfM=		proxy-verified
github.com/coreos/go-systemd/v22	v22.3.2	ivxv.ee/choices	choices/go.mod	true	h1:D9/bQk5vlXQFZ6Kwuu6zaiXJ9oTPe68++AzAJc1DzSI=		proxy-verified
github.com/coreos/go-systemd/v22	v22.3.2	ivxv.ee/common/collector	common/collector/go.mod	true	h1:D9/bQk5vlXQFZ6Kwuu6zaiXJ9oTPe68++AzAJc1DzSI=		proxy-verified
github.com/coreos/go-systemd/v22	v22.3.2	ivxv.ee/mid	mid/go.mod	true	h1:D9/bQk5vlXQFZ6Kwuu6zaiXJ9oTPe68++AzAJc1DzSI=		proxy-verified
github.com/coreos/go-systemd/v22	v22.3.2	ivxv.ee/sessionstatus	sessionstatus/go.mod	true	h1:D9/bQk5vlXQFZ6Kwuu6zaiXJ9oTPe68++AzAJc1DzSI=		proxy-verified
github.com/coreos/go-systemd/v22	v22.3.2	ivxv.ee/sessionstatus/api	sessionstatus/api/go.mod	true	h1:D9/bQk5vlXQFZ6Kwuu6zaiXJ9oTPe68++AzAJc1DzSI=		proxy-verified
github.com/coreos/go-systemd/v22	v22.3.2	ivxv.ee/smartid	smartid/go.mod	true	h1:D9/bQk5vlXQFZ6Kwuu6zaiXJ9oTPe68++AzAJc1DzSI=		proxy-verified
github.com/coreos/go-systemd/v22	v22.3.2	ivxv.ee/storage	storage/go.mod	true	h1:D9/bQk5vlXQFZ6Kwuu6zaiXJ9oTPe68++AzAJc1DzSI=		proxy-verified
github.com/coreos/go-systemd/v22	v22.3.2	ivxv.ee/verification	verification/go.mod	true	h1:D9/bQk5vlXQFZ6Kwuu6zaiXJ9oTPe68++AzAJc1DzSI=		proxy-verified
github.com/coreos/go-systemd/v22	v22.3.2	ivxv.ee/votesorder	votesorder/go.mod	true	h1:D9/bQk5vlXQFZ6Kwuu6zaiXJ9oTPe68++AzAJc1DzSI=		proxy-verified
github.com/coreos/go-systemd/v22	v22.3.2	ivxv.ee/voting	voting/go.mod	true	h1:D9/bQk5vlXQFZ6Kwuu6zaiXJ9oTPe68++AzAJc1DzSI=		proxy-verified
github.com/coreos/go-systemd/v22	v22.3.2	ivxv.ee/webeid	webeid/go.mod	true	h1:D9/bQk5vlXQFZ6Kwuu6zaiXJ9oTPe68++AzAJc1DzSI=		proxy-verified
github.com/gabriel-vasile/mimetype	v1.4.3	xroad	xroad-service/go.mod	true	h1:in2uUcidCuFcDKtdcBxlR0rJ1+fsokWf+uqxgUFjbI0=		proxy-verified
github.com/gin-contrib/sse	v0.1.0	xroad	xroad-service/go.mod	true	h1:Y/yl/+YNO8GZSjAhjMsSuLt29uWRFHdHYUb5lYOV9qE=		proxy-verified
github.com/gin-gonic/gin	v1.10.0	xroad	xroad-service/go.mod	false	h1:nTuyha1TYqgedzytsKYqna+DfLos46nTv2ygFy86HFU=		proxy-verified
github.com/go-playground/locales	v0.14.1	xroad	xroad-service/go.mod	true	h1:EWaQ/wswjilfKLTECiXz7Rh+3BjFhfDFKv/oXslEjJA=		proxy-verified
github.com/go-playground/universal-translator	v0.18.1	xroad	xroad-service/go.mod	true	h1:Bcnm0ZwsGyWbCzImXv+pAJnYK9S473LQFuzCbDbfSFY=		proxy-verified
github.com/go-playground/validator/v10	v10.20.0	xroad	xroad-service/go.mod	true	h1:K9ISHbSaI0lyB2eWMPJo+kOS/FBExVwjEviJTixqxL8=		proxy-verified
github.com/goccy/go-json	v0.10.2	xroad	xroad-service/go.mod	true	h1:CrxCmQqYDkv1z7lO7Wbh2HN93uovUHgrECaO5ZrCXAU=		proxy-verified
github.com/gogo/protobuf	v1.3.2	ivxv.ee/choices	choices/go.mod	true	h1:Ov1cvc58UF3b5XjBnZv7+opcTcQFZebYjWzi34vdm4Q=		proxy-verified
github.com/gogo/protobuf	v1.3.2	ivxv.ee/common/collector	common/collector/go.mod	true	h1:Ov1cvc58UF3b5XjBnZv7+opcTcQFZebYjWzi34vdm4Q=		proxy-verified
github.com/gogo/protobuf	v1.3.2	ivxv.ee/mid	mid/go.mod	true	h1:Ov1cvc58UF3b5XjBnZv7+opcTcQFZebYjWzi34vdm4Q=		proxy-verified
github.com/gogo/protobuf	v1.3.2	ivxv.ee/sessionstatus	sessionstatus/go.mod	true	h1:Ov1cvc58UF3b5XjBnZv7+opcTcQFZebYjWzi34vdm4Q=		proxy-verified
github.com/gogo/protobuf	v1.3.2	ivxv.ee/sessionstatus/api	sessionstatus/api/go.mod	true	h1:Ov1cvc58UF3b5XjBnZv7+opcTcQFZebYjWzi34vdm4Q=		proxy-verified
github.com/gogo/protobuf	v1.3.2	ivxv.ee/smartid	smartid/go.mod	true	h1:Ov1cvc58UF3b5XjBnZv7+opcTcQFZebYjWzi34vdm4Q=		proxy-verified
github.com/gogo/protobuf	v1.3.2	ivxv.ee/storage	storage/go.mod	true	h1:Ov1cvc58UF3b5XjBnZv7+opcTcQFZebYjWzi34vdm4Q=		proxy-verified
github.com/gogo/protobuf	v1.3.2	ivxv.ee/verification	verification/go.mod	true	h1:Ov1cvc58UF3b5XjBnZv7+opcTcQFZebYjWzi34vdm4Q=		proxy-verified
github.com/gogo/protobuf	v1.3.2	ivxv.ee/votesorder	votesorder/go.mod	true	h1:Ov1cvc58UF3b5XjBnZv7+opcTcQFZebYjWzi34vdm4Q=		proxy-verified
github.com/gogo/protobuf	v1.3.2	ivxv.ee/voting	voting/go.mod	true	h1:Ov1cvc58UF3b5XjBnZv7+opcTcQFZebYjWzi34vdm4Q=		proxy-verified
github.com/gogo/protobuf	v1.3.2	ivxv.ee/webeid	webeid/go.mod	true	h1:Ov1cvc58UF3b5XjBnZv7+opcTcQFZebYjWzi34vdm4Q=		proxy-verified
github.com/golang/protobuf	v1.5.4	ivxv.ee/choices	choices/go.mod	true	h1:i7eJL8qZTpSEXOPTxNKhASYpMn+8e5Q6AdndVa1dWek=		proxy-verified
github.com/golang/protobuf	v1.5.4	ivxv.ee/common/collector	common/collector/go.mod	true	h1:i7eJL8qZTpSEXOPTxNKhASYpMn+8e5Q6AdndVa1dWek=		proxy-verified
github.com/golang/protobuf	v1.5.4	ivxv.ee/mid	mid/go.mod	true	h1:i7eJL8qZTpSEXOPTxNKhASYpMn+8e5Q6AdndVa1dWek=		proxy-verified
github.com/golang/protobuf	v1.5.4	ivxv.ee/sessionstatus	sessionstatus/go.mod	true	h1:i7eJL8qZTpSEXOPTxNKhASYpMn+8e5Q6AdndVa1dWek=		proxy-verified
github.com/golang/protobuf	v1.5.4	ivxv.ee/sessionstatus/api	sessionstatus/api/go.mod	true	h1:i7eJL8qZTpSEXOPTxNKhASYpMn+8e5Q6AdndVa1dWek=		proxy-verified
github.com/golang/protobuf	v1.5.4	ivxv.ee/smartid	smartid/go.mod	true	h1:i7eJL8qZTpSEXOPTxNKhASYpMn+8e5Q6AdndVa1dWek=		proxy-verified
github.com/golang/protobuf	v1.5.4	ivxv.ee/storage	storage/go.mod	true	h1:i7eJL8qZTpSEXOPTxNKhASYpMn+8e5Q6AdndVa1dWek=		proxy-verified
github.com/golang/protobuf	v1.5.4	ivxv.ee/verification	verification/go.mod	true	h1:i7eJL8qZTpSEXOPTxNKhASYpMn+8e5Q6AdndVa1dWek=		proxy-verified
github.com/golang/protobuf	v1.5.4	ivxv.ee/votesorder	votesorder/go.mod	true	h1:i7eJL8qZTpSEXOPTxNKhASYpMn+8e5Q6AdndVa1dWek=		proxy-verified
github.com/golang/protobuf	v1.5.4	ivxv.ee/voting	voting/go.mod	true	h1:i7eJL8qZTpSEXOPTxNKhASYpMn+8e5Q6AdndVa1dWek=		proxy-verified
github.com/golang/protobuf	v1.5.4	ivxv.ee/webeid	webeid/go.mod	true	h1:i7eJL8qZTpSEXOPTxNKhASYpMn+8e5Q6AdndVa1dWek=		proxy-verified
github.com/gtank/ristretto255	v0.1.2	ivxv.ee/common/collector	common/collector/go.mod	true	h1:JEqUCPA1NvLq5DwYtuzigd7ss8fwbYay9fi4/5uMzcc=		proxy-verified
github.com/gtank/ristretto255	v0.1.2	ivxv.ee/voting	voting/go.mod	true	h1:JEqUCPA1NvLq5DwYtuzigd7ss8fwbYay9fi4/5uMzcc=		proxy-verified
github.com/gtank/ristretto255	v0.1.2	tivi.io/core	core/go.mod	false	h1:JEqUCPA1NvLq5DwYtuzigd7ss8fwbYay9fi4/5uMzcc=		proxy-verified
github.com/json-iterator/go	v1.1.12	xroad	xroad-service/go.mod	true	h1:PV8peI4a0ysnczrg+LtxykD8LfKY9ML6u2jnxaEnrnM=		proxy-verified
github.com/klauspost/cpuid/v2	v2.2.7	xroad	xroad-service/go.mod	true	h1:ZWSB3igEs+d0qvnxR/ZBzXVmxkgt8DdzP6m9pfuVLDM=		proxy-verified
github.com/leodido/go-urn	v1.4.0	xroad	xroad-service/go.mod	true	h1:WT9HwE9SGECu3lg4d/dIA+jxlljEa1/ffXKmRjqdmIQ=		proxy-verified
github.com/mattn/go-isatty	v0.0.20	xroad	xroad-service/go.mod	true	h1:xfD0iDuEKnDkl03q4limB+vH+GxLEtL/jb4xVJSWWEY=		proxy-verified
github.com/modern-go/concurrent	v0.0.0-20180306012644-bacd9c7ef1dd	xroad	xroad-service/go.mod	true	h1:TRLaZ9cD/w8PVh93nsPXa1VrQ6jlwL5oN8l14QlcNfg=		proxy-verified
github.com/modern-go/reflect2	v1.0.2	xroad	xroad-service/go.mod	true	h1:xBagoLtFs94CBntxluKeaWgTMpvLxC4ur3nMaC9Gz0M=		proxy-verified
github.com/pelletier/go-toml/v2	v2.2.2	xroad	xroad-service/go.mod	true	h1:aYUidT7k73Pcl9nb2gScu7NSrKCSHIDE89b3+6Wq+LM=		proxy-verified
github.com/pkg/errors	v0.9.1	tivi.io/core	core/go.mod	true	h1:FEBLx1zS214owpjy7qsBeixbURkuhQAwrK5UwLGTwt4=		proxy-verified
github.com/plar/go-adaptive-radix-tree	v1.0.4	tivi.io/core	core/go.mod	true	h1:Ucd8R6RH2E7RW8ZtDKrsWyOD3paG2qqJO0I20WQ8oWQ=		proxy-verified
github.com/prologic/bitcask	v0.3.10	tivi.io/core	core/go.mod	false	h1:HXygU8zCvW5gLpZ8aQECPk5iV/YQ3hcqdg/zVeES6s0=		proxy-verified
github.com/sirupsen/logrus	v1.9.3	xroad	xroad-service/go.mod	false	h1:dueUQJ1C2q9oE3F7wvmSGAaVtTmUizReu6fjN8uqzbQ=		proxy-verified
github.com/twitchyliquid64/golang-asm	v0.15.1	xroad	xroad-service/go.mod	true	h1:SU5vSMR7hnwNxj24w34ZyCi/FmDZTkS4MhqMhdFk5YI=		proxy-verified
github.com/ugorji/go/codec	v1.2.12	xroad	xroad-service/go.mod	true	h1:9LC83zGrHhuUA9l16C9AHXAqEV/2wBQ4nkvumAE65EE=		proxy-verified
go.etcd.io/bbolt	v1.3.2	tivi.io/core	core/go.mod	false	h1:Z/90sZLPOeCy2PwprqkFa25PdkusRzaj9P8zm/KNyvk=		proxy-verified
go.etcd.io/etcd/api/v3	v3.5.17	ivxv.ee/choices	choices/go.mod	true	h1:cQB8eb8bxwuxOilBpMJAEo8fAONyrdXTHUNcMd8yT1w=		proxy-verified
go.etcd.io/etcd/api/v3	v3.5.17	ivxv.ee/common/collector	common/collector/go.mod	false	h1:cQB8eb8bxwuxOilBpMJAEo8fAONyrdXTHUNcMd8yT1w=		proxy-verified
go.etcd.io/etcd/api/v3	v3.5.17	ivxv.ee/mid	mid/go.mod	true	h1:cQB8eb8bxwuxOilBpMJAEo8fAONyrdXTHUNcMd8yT1w=		proxy-verified
go.etcd.io/etcd/api/v3	v3.5.17	ivxv.ee/sessionstatus	sessionstatus/go.mod	true	h1:cQB8eb8bxwuxOilBpMJAEo8fAONyrdXTHUNcMd8yT1w=		proxy-verified
go.etcd.io/etcd/api/v3	v3.5.17	ivxv.ee/sessionstatus/api	sessionstatus/api/go.mod	true	h1:cQB8eb8bxwuxOilBpMJAEo8fAONyrdXTHUNcMd8yT1w=		proxy-verified
go.etcd.io/etcd/api/v3	v3.5.17	ivxv.ee/smartid	smartid/go.mod	true	h1:cQB8eb8bxwuxOilBpMJAEo8fAONyrdXTHUNcMd8yT1w=		proxy-verified
go.etcd.io/etcd/api/v3	v3.5.17	ivxv.ee/storage	storage/go.mod	true	h1:cQB8eb8bxwuxOilBpMJAEo8fAONyrdXTHUNcMd8yT1w=		proxy-verified
go.etcd.io/etcd/api/v3	v3.5.17	ivxv.ee/verification	verification/go.mod	true	h1:cQB8eb8bxwuxOilBpMJAEo8fAONyrdXTHUNcMd8yT1w=		proxy-verified
go.etcd.io/etcd/api/v3	v3.5.17	ivxv.ee/votesorder	votesorder/go.mod	true	h1:cQB8eb8bxwuxOilBpMJAEo8fAONyrdXTHUNcMd8yT1w=		proxy-verified
go.etcd.io/etcd/api/v3	v3.5.17	ivxv.ee/voting	voting/go.mod	true	h1:cQB8eb8bxwuxOilBpMJAEo8fAONyrdXTHUNcMd8yT1w=		proxy-verified
go.etcd.io/etcd/api/v3	v3.5.17	ivxv.ee/webeid	webeid/go.mod	true	h1:cQB8eb8bxwuxOilBpMJAEo8fAONyrdXTHUNcMd8yT1w=		proxy-verified
go.etcd.io/etcd/client/pkg/v3	v3.5.17	ivxv.ee/choices	choices/go.mod	true	h1:XxnDXAWq2pnxqx76ljWwiQ9jylbpC4rvkAeRVOUKKVw=		proxy-verified
go.etcd.io/etcd/client/pkg/v3	v3.5.17	ivxv.ee/common/collector	common/collector/go.mod	true	h1:XxnDXAWq2pnxqx76ljWwiQ9jylbpC4rvkAeRVOUKKVw=		proxy-verified
go.etcd.io/etcd/client/pkg/v3	v3.5.17	ivxv.ee/mid	mid/go.mod	true	h1:XxnDXAWq2pnxqx76ljWwiQ9jylbpC4rvkAeRVOUKKVw=		proxy-verified
go.etcd.io/etcd/client/pkg/v3	v3.5.17	ivxv.ee/sessionstatus	sessionstatus/go.mod	true	h1:XxnDXAWq2pnxqx76ljWwiQ9jylbpC4rvkAeRVOUKKVw=		proxy-verified
go.etcd.io/etcd/client/pkg/v3	v3.5.17	ivxv.ee/sessionstatus/api	sessionstatus/api/go.mod	true	h1:XxnDXAWq2pnxqx76ljWwiQ9jylbpC4rvkAeRVOUKKVw=		proxy-verified
go.etcd.io/etcd/client/pkg/v3	v3.5.17	ivxv.ee/smartid	smartid/go.mod	true	h1:XxnDXAWq2pnxqx76ljWwiQ9jylbpC4rvkAeRVOUKKVw=		proxy-verified
go.etcd.io/etcd/client/pkg/v3	v3.5.17	ivxv.ee/storage	storage/go.mod	true	h1:XxnDXAWq2pnxqx76ljWwiQ9jylbpC4rvkAeRVOUKKVw=		proxy-verified
go.etcd.io/etcd/client/pkg/v3	v3.5.17	ivxv.ee/verification	verification/go.mod	true	h1:XxnDXAWq2pnxqx76ljWwiQ9jylbpC4rvkAeRVOUKKVw=		proxy-verified
go.etcd.io/etcd/client/pkg/v3	v3.5.17	ivxv.ee/votesorder	votesorder/go.mod	true	h1:XxnDXAWq2pnxqx76ljWwiQ9jylbpC4rvkAeRVOUKKVw=		proxy-verified
go.etcd.io/etcd/client/pkg/v3	v3.5.17	ivxv.ee/voting	voting/go.mod	true	h1:XxnDXAWq2pnxqx76ljWwiQ9jylbpC4rvkAeRVOUKKVw=		proxy-verified
go.etcd.io/etcd/client/pkg/v3	v3.5.17	ivxv.ee/webeid	webeid/go.mod	true	h1:XxnDXAWq2pnxqx76ljWwiQ9jylbpC4rvkAeRVOUKKVw=		proxy-verified
go.etcd.io/etcd/client/v3	v3.5.17	ivxv.ee/choices	choices/go.mod	true	h1:o48sINNeWz5+pjy/Z0+HKpj/xSnBkuVhVvXkjEXbqZY=		proxy-verified
go.etcd.io/etcd/client/v3	v3.5.17	ivxv.ee/common/collector	common/collector/go.mod	false	h1:o48sINNeWz5+pjy/Z0+HKpj/xSnBkuVhVvXkjEXbqZY=		proxy-verified
go.etcd.io/etcd/client/v3	v3.5.17	ivxv.ee/mid	mid/go.mod	true	h1:o48sINNeWz5+pjy/Z0+HKpj/xSnBkuVhVvXkjEXbqZY=		proxy-verified
go.etcd.io/etcd/client/v3	v3.5.17	ivxv.ee/sessionstatus	sessionstatus/go.mod	true	h1:o48sINNeWz5+pjy/Z0+HKpj/xSnBkuVhVvXkjEXbqZY=		proxy-verified
go.etcd.io/etcd/client/v3	v3.5.17	ivxv.ee/sessionstatus/api	sessionstatus/api/go.mod	true	h1:o48sINNeWz5+pjy/Z0+HKpj/xSnBkuVhVvXkjEXbqZY=		proxy-verified
go.etcd.io/etcd/client/v3	v3.5.17	ivxv.ee/smartid	smartid/go.mod	true	h1:o48sINNeWz5+pjy/Z0+HKpj/xSnBkuVhVvXkjEXbqZY=		proxy-verified
go.etcd.io/etcd/client/v3	v3.5.17	ivxv.ee/storage	storage/go.mod	false	h1:o48sINNeWz5+pjy/Z0+HKpj/xSnBkuVhVvXkjEXbqZY=		proxy-verified
go.etcd.io/etcd/client/v3	v3.5.17	ivxv.ee/verification	verification/go.mod	true	h1:o48sINNeWz5+pjy/Z0+HKpj/xSnBkuVhVvXkjEXbqZY=		proxy-verified
go.etcd.io/etcd/client/v3	v3.5.17	ivxv.ee/votesorder	votesorder/go.mod	true	h1:o48sINNeWz5+pjy/Z0+HKpj/xSnBkuVhVvXkjEXbqZY=		proxy-verified
go.etcd.io/etcd/client/v3	v3.5.17	ivxv.ee/voting	voting/go.mod	true	h1:o48sINNeWz5+pjy/Z0+HKpj/xSnBkuVhVvXkjEXbqZY=		proxy-verified
go.etcd.io/etcd/client/v3	v3.5.17	ivxv.ee/webeid	webeid/go.mod	true	h1:o48sINNeWz5+pjy/Z0+HKpj/xSnBkuVhVvXkjEXbqZY=		proxy-verified
go.uber.org/atomic	v1.7.0	ivxv.ee/choices	choices/go.mod	true	h1:ADUqmZGgLDDfbSL9ZmPxKTybcoEYHgpYfELNoN+7hsw=		proxy-verified
go.uber.org/atomic	v1.7.0	ivxv.ee/common/collector	common/collector/go.mod	true	h1:ADUqmZGgLDDfbSL9ZmPxKTybcoEYHgpYfELNoN+7hsw=		proxy-verified
go.uber.org/atomic	v1.7.0	ivxv.ee/mid	mid/go.mod	true	h1:ADUqmZGgLDDfbSL9ZmPxKTybcoEYHgpYfELNoN+7hsw=		proxy-verified
go.uber.org/atomic	v1.7.0	ivxv.ee/sessionstatus	sessionstatus/go.mod	true	h1:ADUqmZGgLDDfbSL9ZmPxKTybcoEYHgpYfELNoN+7hsw=		proxy-verified
