coordinate,type,url,http_status,final_url,size,sha256,result
ch.qos.cal10n:cal10n-api:0.8.1,pom,https://repo.maven.apache.org/maven2/ch/qos/cal10n/cal10n-api/0.8.1/cal10n-api-0.8.1.pom,200,https://repo.maven.apache.org/maven2/ch/qos/cal10n/cal10n-api/0.8.1/cal10n-api-0.8.1.pom,1858,863e9f09697bce3725e5086212d0deea164c151ffd4cdfc1968308dda564bf5a,available
ch.qos.cal10n:cal10n-api:0.8.1,jar,https://repo.maven.apache.org/maven2/ch/qos/cal10n/cal10n-api/0.8.1/cal10n-api-0.8.1.jar,200,https://repo.maven.apache.org/maven2/ch/qos/cal10n/cal10n-api/0.8.1/cal10n-api-0.8.1.jar,38185,b7a110770766cd2742eba4ee894713b17e69262841f8aeea8b3d1a666fb7d260,available
ch.qos.logback.contrib:logback-jackson:0.1.5,pom,https://repo.maven.apache.org/maven2/ch/qos/logback/contrib/logback-jackson/0.1.5/logback-jackson-0.1.5.pom,200,https://repo.maven.apache.org/maven2/ch/qos/logback/contrib/logback-jackson/0.1.5/logback-jackson-0.1.5.pom,1362,8791427fcb889c6a426559857bb6e651f7e90bcca6856512f829ba948d5f758c,available
ch.qos.logback.contrib:logback-jackson:0.1.5,jar,https://repo.maven.apache.org/maven2/ch/qos/logback/contrib/logback-jackson/0.1.5/logback-jackson-0.1.5.jar,200,https://repo.maven.apache.org/maven2/ch/qos/logback/contrib/logback-jackson/0.1.5/logback-jackson-0.1.5.jar,3738,c6f8863934218faa1bfa0f325659aa899e6a28473de2ec09cf43192c78409ab4,available
ch.qos.logback.contrib:logback-json-classic:0.1.5,pom,https://repo.maven.apache.org/maven2/ch/qos/logback/contrib/logback-json-classic/0.1.5/logback-json-classic-0.1.5.pom,200,https://repo.maven.apache.org/maven2/ch/qos/logback/contrib/logback-json-classic/0.1.5/logback-json-classic-0.1.5.pom,1404,e5ba2b46d42aadbeb98e8772e2088645d71d39a621f1eeb8dfb9f8a78e779e2d,available
ch.qos.logback.contrib:logback-json-classic:0.1.5,jar,https://repo.maven.apache.org/maven2/ch/qos/logback/contrib/logback-json-classic/0.1.5/logback-json-classic-0.1.5.jar,200,https://repo.maven.apache.org/maven2/ch/qos/logback/contrib/logback-json-classic/0.1.5/logback-json-classic-0.1.5.jar,4901,257194ac9c57f65e72e7b18e60d7b78d3ea1bc85e734332a4a8bbb46a5af305a,available
ch.qos.logback:logback-classic:1.5.12,pom,https://repo.maven.apache.org/maven2/ch/qos/logback/logback-classic/1.5.12/logback-classic-1.5.12.pom,200,https://repo.maven.apache.org/maven2/ch/qos/logback/logback-classic/1.5.12/logback-classic-1.5.12.pom,13010,edd540e1a8a2b015a13812867a04f22e8b1ec808e9289b6b9199df5dea489688,available
ch.qos.logback:logback-classic:1.5.12,jar,https://repo.maven.apache.org/maven2/ch/qos/logback/logback-classic/1.5.12/logback-classic-1.5.12.jar,200,https://repo.maven.apache.org/maven2/ch/qos/logback/logback-classic/1.5.12/logback-classic-1.5.12.jar,306214,ebe1a2ce1072b365090d58af40fcb7482d7864a31cd2b1c62c9b1d13f9a80c09,available
com.fasterxml.jackson.core:jackson-databind:2.18.1,pom,https://repo.maven.apache.org/maven2/com/fasterxml/jackson/core/jackson-databind/2.18.1/jackson-databind-2.18.1.pom,200,https://repo.maven.apache.org/maven2/com/fasterxml/jackson/core/jackson-databind/2.18.1/jackson-databind-2.18.1.pom,21242,d3d9b91c74de4bb2c3f5b35186aab514716daa1d72127cb60d0d3e524f311f22,available
com.fasterxml.jackson.core:jackson-databind:2.18.1,jar,https://repo.maven.apache.org/maven2/com/fasterxml/jackson/core/jackson-databind/2.18.1/jackson-databind-2.18.1.jar,200,https://repo.maven.apache.org/maven2/com/fasterxml/jackson/core/jackson-databind/2.18.1/jackson-databind-2.18.1.jar,1657971,711bc3bf86d31d02968b9279efb07a6ad60adfc0baa0e9fe66d71a0ac2556234,available
