name,version,filename,packagetype,python_version,requires_python,url,size,sha256,upload_time_iso_8601,yanked,metadata_api,metadata_http_status,metadata_final_url,metadata_sha256
bottle,0.13.2,bottle-0.13.2-py2.py3-none-any.whl,bdist_wheel,py2.py3,,https://files.pythonhosted.org/packages/7e/0a/a5260c758ff813acc6967344339aa7ba15f815575f4d49141685c4345d39/bottle-0.13.2-py2.py3-none-any.whl,104053,27569ab8d1332fbba3e400b3baab2227ab4efb4882ff147af05a7c00ed73409c,2024-10-12T12:29:16.698241Z,False,https://pypi.org/pypi/bottle/0.13.2/json,200,https://pypi.org/pypi/bottle/0.13.2/json,dccaf602911db117e027a454af1502c4970117c6f3ff6813b22bb344f5e385da
bottle,0.13.2,bottle-0.13.2.tar.gz,sdist,source,,https://files.pythonhosted.org/packages/1b/fb/97839b95c2a2ea1ca91877a846988f90f4ca16ee42c0bb79e079171c0c06/bottle-0.13.2.tar.gz,98472,e53803b9d298c7d343d00ba7d27b0059415f04b9f6f40b8d58b5bf914ba9d348,2024-10-12T12:29:18.179458Z,False,https://pypi.org/pypi/bottle/0.13.2/json,200,https://pypi.org/pypi/bottle/0.13.2/json,dccaf602911db117e027a454af1502c4970117c6f3ff6813b22bb344f5e385da
docopt,0.6.2,docopt-0.6.2.tar.gz,sdist,source,,https://files.pythonhosted.org/packages/a2/55/8f8cab2afd404cf578136ef2cc5dfb50baa1761b68c9da1fb1e4eed343c9/docopt-0.6.2.tar.gz,25901,49b3a825280bd66b3aa83585ef59c4a8c82f2c8a522dbe754a8bc8d08c85c491,2014-06-16T11:18:57.406351Z,False,https://pypi.org/pypi/docopt/0.6.2/json,200,https://pypi.org/pypi/docopt/0.6.2/json,aedfede8a53188bb77f91759db52bf482efe4934cb6e77879cfd96fa921c8801
fasteners,0.19,fasteners-0.19-py3-none-any.whl,bdist_wheel,py3,>=3.6,https://files.pythonhosted.org/packages/61/bf/fd60001b3abc5222d8eaa4a204cd8c0ae78e75adc688f33ce4bf25b7fafa/fasteners-0.19-py3-none-any.whl,18679,758819cb5d94cdedf4e836988b74de396ceacb8e2794d21f82d131fd9ee77237,2023-09-19T17:11:18.725026Z,False,https://pypi.org/pypi/fasteners/0.19/json,200,https://pypi.org/pypi/fasteners/0.19/json,19787302a193d4ed7010286b8750bec8a7ec486bbba85aaf1b283acaf7110996
fasteners,0.19,fasteners-0.19.tar.gz,sdist,source,>=3.6,https://files.pythonhosted.org/packages/5f/d4/e834d929be54bfadb1f3e3b931c38e956aaa3b235a46a3c764c26c774902/fasteners-0.19.tar.gz,24832,b4f37c3ac52d8a445af3a66bce57b33b5e90b97c696b7b984f530cf8f0ded09c,2023-09-19T17:11:20.228211Z,False,https://pypi.org/pypi/fasteners/0.19/json,200,https://pypi.org/pypi/fasteners/0.19/json,19787302a193d4ed7010286b8750bec8a7ec486bbba85aaf1b283acaf7110996
Jinja2,3.1.4,jinja2-3.1.4-py3-none-any.whl,bdist_wheel,py3,>=3.7,https://files.pythonhosted.org/packages/31/80/3a54838c3fb461f6fec263ebf3a3a41771bd05190238de3486aae8540c36/jinja2-3.1.4-py3-none-any.whl,133271,bc5dd2abb727a5319567b7a813e6a2e7318c39f4f487cfe6c89c6f9c7d25197d,2024-05-05T23:41:59.928923Z,False,https://pypi.org/pypi/Jinja2/3.1.4/json,200,https://pypi.org/pypi/Jinja2/3.1.4/json,783ed1c834b9efd24602b8a74b8f84e511e0e5c21d4cef744850c7d34d6786ab
Jinja2,3.1.4,jinja2-3.1.4.tar.gz,sdist,source,>=3.7,https://files.pythonhosted.org/packages/ed/55/39036716d19cab0747a5020fc7e907f362fbf48c984b14e62127f7e68e5d/jinja2-3.1.4.tar.gz,240245,4a3aee7acbbe7303aede8e9648d13b8bf88a429282aa6122a993f0ac800cb369,2024-05-05T23:42:02.455073Z,False,https://pypi.org/pypi/Jinja2/3.1.4/json,200,https://pypi.org/pypi/Jinja2/3.1.4/json,783ed1c834b9efd24602b8a74b8f84e511e0e5c21d4cef744850c7d34d6786ab
jsonschema,4.23.0,jsonschema-4.23.0-py3-none-any.whl,bdist_wheel,py3,>=3.8,https://files.pythonhosted.org/packages/69/4a/4f9dbeb84e8850557c02365a0eee0649abe5eb1d84af92a25731c6c0f922/jsonschema-4.23.0-py3-none-any.whl,88462,fbadb6f8b144a8f8cf9f0b89ba94501d143e50411a1278633f56a7acf7fd5566,2024-07-08T18:40:00.165365Z,False,https://pypi.org/pypi/jsonschema/4.23.0/json,200,https://pypi.org/pypi/jsonschema/4.23.0/json,d3dbd3231e74a925ede39a13da820cd72d05d67b4d1af3f1c896c95b42794f9d
jsonschema,4.23.0,jsonschema-4.23.0.tar.gz,sdist,source,>=3.8,https://files.pythonhosted.org/packages/38/2e/03362ee4034a4c917f697890ccd4aec0800ccf9ded7f511971c75451deec/jsonschema-4.23.0.tar.gz,325778,d71497fef26351a33265337fa77ffeb82423f3ea21283cd9467bb03999266bc4,2024-07-08T18:40:05.546878Z,False,https://pypi.org/pypi/jsonschema/4.23.0/json,200,https://pypi.org/pypi/jsonschema/4.23.0/json,d3dbd3231e74a925ede39a13da820cd72d05d67b4d1af3f1c896c95b42794f9d
pyOpenSSL,24.2.1,pyOpenSSL-24.2.1-py3-none-any.whl,bdist_wheel,py3,>=3.7,https://files.pythonhosted.org/packages/d9/dd/e0aa7ebef5168c75b772eda64978c597a9129b46be17779054652a7999e4/pyOpenSSL-24.2.1-py3-none-any.whl,58390,967d5719b12b243588573f39b0c677637145c7a1ffedcd495a487e58177fbb8d,2024-07-20T17:26:29.057359Z,False,https://pypi.org/pypi/pyOpenSSL/24.2.1/json,200,https://pypi.org/pypi/pyOpenSSL/24.2.1/json,bb7213de33f95d006c8f607dc34198d3d64e80887ab6eb10d1eff25635092ccb
pyOpenSSL,24.2.1,pyopenssl-24.2.1.tar.gz,sdist,source,>=3.7,https://files.pythonhosted.org/packages/5d/70/ff56a63248562e77c0c8ee4aefc3224258f1856977e0c1472672b62dadb8/pyopenssl-24.2.1.tar.gz,184323,4247f0dbe3748d560dcbb2ff3ea01af0f9a1a001ef5f7c4c647956ed8cbf0e95,2024-07-20T17:26:31.252798Z,False,https://pypi.org/pypi/pyOpenSSL/24.2.1/json,200,https://pypi.org/pypi/pyOpenSSL/24.2.1/json,bb7213de33f95d006c8f607dc34198d3d64e80887ab6eb10d1eff25635092ccb
python-crontab,3.3.0,python_crontab-3.3.0-py3-none-any.whl,bdist_wheel,py3,,https://files.pythonhosted.org/packages/47/42/bb4afa5b088f64092036221843fc989b7db9d9d302494c1f8b024ee78a46/python_crontab-3.3.0-py3-none-any.whl,27533,739a778b1a771379b75654e53fd4df58e5c63a9279a63b5dfe44c0fcc3ee7884,2025-07-13T20:05:34.266036Z,False,https://pypi.org/pypi/python-crontab/3.3.0/json,200,https://pypi.org/pypi/python-crontab/3.3.0/json,a380cde4e6efad8411d9435ec2819684ee99f9d0dab4c5889937cfc8f44aa637
python-crontab,3.3.0,python_crontab-3.3.0.tar.gz,sdist,source,,https://files.pythonhosted.org/packages/99/7f/c54fb7e70b59844526aa4ae321e927a167678660ab51dda979955eafb89a/python_crontab-3.3.0.tar.gz,57626,007c8aee68dddf3e04ec4dce0fac124b93bd68be7470fc95d2a9617a15de291b,2025-07-13T20:05:35.535881Z,False,https://pypi.org/pypi/python-crontab/3.3.0/json,200,https://pypi.org/pypi/python-crontab/3.3.0/json,a380cde4e6efad8411d9435ec2819684ee99f9d0dab4c5889937cfc8f44aa637
